Year,Mean,SD,CV,Qlower,Median,Qupper,Model,Distribution,Link,Q2.5,Q97.5
1993_AW,0.908623820893332,0.16604633305893268,0.18274486012889343,0.6441961810569682,0.9092903431796746,1.3026784568804153,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.6441961810569682,1.3026784568804153
1993_SS,1.0774418530004646,0.19612269355430906,0.18202624392968006,0.7626331978289022,1.0758271462119935,1.5294478841402692,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.7626331978289022,1.5294478841402692
1994_AW,1.045912243965921,0.18780553572415037,0.1795614658950963,0.7506515350723232,1.0472343574126495,1.4893889365261073,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.7506515350723232,1.4893889365261073
1994_SS,1.5715209444847145,0.2780720545648083,0.17694454250877661,1.1317372428698118,1.575405930813555,2.219735454846369,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.1317372428698118,2.219735454846369
1995_AW,1.3807687275554503,0.24284272900023782,0.17587502103279312,0.9834747905082017,1.3851177929238143,1.950378291222123,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.9834747905082017,1.950378291222123
1995_SS,2.020331055995589,0.4418316948483722,0.2186927204515223,1.332124180440137,1.9952540746180716,3.068345562130259,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.332124180440137,3.068345562130259
1996_AW,1.761458710574083,0.31737540023969374,0.18017759844978531,1.2380818687873743,1.7668298022621232,2.5238380688280695,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.2380818687873743,2.5238380688280695
1996_SS,1.8351034010008525,0.46168590381199015,0.2515857708945392,1.1148963118080246,1.8205766489456303,2.9076821807623774,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.1148963118080246,2.9076821807623774
1997_AW,1.6394700770848458,0.2885697801447067,0.17601405733358355,1.1704038602174118,1.6473118518681444,2.2981061479452145,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.1704038602174118,2.2981061479452145
1997_SS,1.9497752816880416,0.568026926583946,0.29132943263706257,1.112142245946156,1.8993202430859235,3.326378243597075,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.112142245946156,3.326378243597075
1998_AW,1.5649313395963458,0.27350715574141915,0.17477262345066644,1.1108893206818966,1.5747196355002027,2.198549732508754,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.1108893206818966,2.198549732508754
1998_SS,2.3909227782456353,0.6337593085327128,0.265068915775582,1.4555173337696812,2.341150983190132,3.9375277893505767,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.4555173337696812,3.9375277893505767
1999_AW,1.2989918279841484,0.22491704104113244,0.17314738722426906,0.9371991165393837,1.3040261448537807,1.839649696785484,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.9371991165393837,1.839649696785484
1999_SS,2.1615870109356474,0.43958934854735304,0.20336417008588328,1.4594475208609443,2.1558815212402918,3.185030153516543,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.4594475208609443,3.185030153516543
2000_AW,0.9025321083230616,0.15588616025162108,0.17272090246325242,0.6516813706710104,0.9045089832688368,1.2730372605830533,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.6516813706710104,1.2730372605830533
2000_SS,1.6701089026222284,0.3216899157302885,0.19261613133443273,1.1453107487085001,1.6671660253122675,2.4278647673337708,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,1.1453107487085001,2.4278647673337708
2001_AW,0.7693209848497207,0.13906725889672972,0.18076623624649357,0.5413287634022707,0.7750661043434068,1.0915375095580444,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.5413287634022707,1.0915375095580444
2001_SS,1.0617748052988425,0.19667817251769412,0.18523529804640443,0.7475935761861259,1.0630708748251514,1.5180398237186465,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.7475935761861259,1.5180398237186465
2002_AW,0.5356403423055139,0.0978805175742552,0.18273552203509524,0.3775427827718292,0.5363174080820542,0.7687336730656545,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.3775427827718292,0.7687336730656545
2002_SS,0.8233347196709687,0.15483550484022218,0.18805900096390868,0.5755982757624823,0.820795453847623,1.1848757519945559,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.5755982757624823,1.1848757519945559
